Scaffold767	NW_012225168.1
Scaffold768	NW_012225169.1
Scaffold769	NW_012225170.1
Scaffold770	NW_012225171.1
Scaffold771	NW_012225172.1
Scaffold772	NW_012225173.1
Scaffold773	NW_012225174.1
Scaffold774	NW_012225175.1
Scaffold775	NW_012225176.1
Scaffold776	NW_012225177.1
Scaffold777	NW_012225178.1
Scaffold778	NW_012225179.1
Scaffold779	NW_012225180.1
Scaffold780	NW_012225181.1
Scaffold781	NW_012225182.1
Scaffold782	NW_012225183.1
Scaffold783	NW_012225184.1
Scaffold784	NW_012225185.1
Scaffold785	NW_012225186.1
Scaffold786	NW_012225187.1
Scaffold787	NW_012225188.1
Scaffold788	NW_012225189.1
Scaffold789	NW_012225190.1
Scaffold790	NW_012225191.1
Scaffold791	NW_012225192.1
Scaffold792	NW_012225193.1
Scaffold793	NW_012225194.1
Scaffold794	NW_012225195.1
Scaffold795	NW_012225196.1
Scaffold796	NW_012225197.1
Scaffold797	NW_012225198.1
Scaffold798	NW_012225199.1
Scaffold799	NW_012225200.1
Scaffold800	NW_012225201.1
Scaffold801	NW_012225202.1
Scaffold802	NW_012225203.1
Scaffold803	NW_012225204.1
Scaffold804	NW_012225205.1
Scaffold805	NW_012225206.1
Scaffold806	NW_012225207.1
Scaffold807	NW_012225208.1
Scaffold808	NW_012225209.1
Scaffold809	NW_012225210.1
Scaffold810	NW_012225211.1
Scaffold811	NW_012225212.1
Scaffold812	NW_012225213.1
Scaffold813	NW_012225214.1
Scaffold814	NW_012225215.1
Scaffold815	NW_012225216.1
Scaffold816	NW_012225217.1
Scaffold817	NW_012225218.1
Scaffold818	NW_012225219.1
Scaffold819	NW_012225220.1
Scaffold820	NW_012225221.1
Scaffold821	NW_012225222.1
Scaffold822	NW_012225223.1
Scaffold823	NW_012225224.1
Scaffold824	NW_012225225.1
Scaffold825	NW_012225226.1
Scaffold826	NW_012225227.1
Scaffold827	NW_012225228.1
Scaffold828	NW_012225229.1
Scaffold829	NW_012225230.1
Scaffold830	NW_012225231.1
Scaffold831	NW_012225232.1
Scaffold832	NW_012225233.1
Scaffold833	NW_012225234.1
Scaffold834	NW_012225235.1
Scaffold835	NW_012225236.1
Scaffold836	NW_012225237.1
Scaffold837	NW_012225238.1
Scaffold838	NW_012225239.1
Scaffold839	NW_012225240.1
Scaffold840	NW_012225241.1
Scaffold841	NW_012225242.1
Scaffold842	NW_012225243.1
Scaffold843	NW_012225244.1
Scaffold844	NW_012225245.1
Scaffold845	NW_012225246.1
Scaffold846	NW_012225247.1
Scaffold847	NW_012225248.1
Scaffold848	NW_012225249.1
Scaffold849	NW_012225250.1
Scaffold850	NW_012225251.1
Scaffold851	NW_012225252.1
Scaffold852	NW_012225253.1
Scaffold853	NW_012225254.1
Scaffold854	NW_012225255.1
Scaffold855	NW_012225256.1
Scaffold856	NW_012225257.1
Scaffold857	NW_012225258.1
Scaffold858	NW_012225259.1
Scaffold859	NW_012225260.1
Scaffold860	NW_012225261.1
Scaffold861	NW_012225262.1
Scaffold862	NW_012225263.1
